"ID","For the reuse of code/software, which license(s) does your repository apply?","CC0","CC-BY or compliant","CC-BY-SA","CC-BY-NC","CC-BY-NC-SA","BSD","Apache","ODBI","(L)GPL","Affero GPL","ODC","MIT","European Union public license","""Public domain"" or ""free use"" without a (known) license","Commercial license","All rights reserved","Scientific use file Licence","Other : ToS, Internal licenses...","Custom license, chosen by user","Mozilla Public License","Eclipse Public License","Other","ODbL",
138,"CC-BY NC SA",,,,,1,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,
140,"GNU-GPLv3; MIT; Other (in case of restricted access software)",,,,,,,,,1,,,,,,1,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,
142,"The Recherche Data Gouv repository encourages to preferably deposit code or software in the HAL and Software Heritage repositories. If the datasets deposited include some code, any licence can be used in compliance with the Loi pour une République numérique : https://www.data.gouv.fr/fr/pages/legal/licences/ ",,,,,,1,1,,1,1,,1,1,,,,,,,1,1,"The Recherche Data Gouv repository encourages to preferably deposit code or software in the HAL and Software Heritage repositories. If the datasets deposited include some code, any licence can be used in compliance with the Loi pour une République numérique : https://www.data.gouv.fr/fr/pages/legal/licences/ ",,
143,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,
147,"Apache License Version 2.0, MIT License",,,,,,,1,,,,,1,,,,,,,,,,,,
148,"Apache, MIT, GPL",,,,,,,1,,1,,,1,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,
158,"not applicable",,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,
